time,plv,part,pven,qao,qper,qmv,vlv,vart,vven,accuracy,est,phase,cycle,cpu
2.0,0.0197,11.4936,1.9475,0.0,0.0795734,0.3875367,44.163999999999994,787.341,4168.5,-1,-1,-1,1,-1
4.0,0.0383,11.487274128,1.946465122333334,0.0,79.50674171388887,381.6330244666668,44.93907339999999,787.1818532,4167.8790734,-1,-1,-1,1,-1
6.0,0.0562,11.480913588662888,1.945458034724158,0.0,79.46212961615609,377.85160694483153,45.70233944893332,787.0228397165722,4167.274820834495,-1,-1,-1,1,-1
8.0,0.0734,11.474556618293596,1.9444634031330619,0.0,79.4174434596711,374.2126806266124,46.45804266282298,786.8639154573399,4166.678041879837,-1,-1,-1,1,-1
10.0,0.09,11.468203222816824,1.9434807523425055,0.0,79.37268725395265,370.69615046850106,47.20646802407621,786.7050805704206,4166.088451405503,-1,-1,-1,1,-1
12.0,0.1064,11.461853407836507,1.94250967413179,0.0,79.32786444753931,367.221934826358,47.94786032501321,786.5463351959127,4165.505804479074,-1,-1,-1,1,-1
14.0,0.1218,11.455507178680705,1.9415500272305266,0.0,79.28297626208482,363.95000544610537,48.682304194665925,786.3876794670176,4164.930016338316,-1,-1,-1,1,-1
16.0,0.1372,11.449164540579737,1.9406011371332472,0.0,79.23802836205408,360.6802274266495,49.41020420555814,786.2291135144934,4164.360682279948,-1,-1,-1,1,-1
18.0,0.1515,11.442825498310771,1.9396629964696983,0.0,79.1930208486756,357.6325992939396,50.131564660411435,786.0706374577693,4163.797797881819,-1,-1,-1,1,-1
20.0,0.1663,11.436490056642878,1.9387348645415476,0.0,79.14795993417775,354.48697290830955,50.846829858999314,785.912251416072,4163.240918724929,-1,-1,-1,1,-1
22.0,0.1802,11.430158219848146,1.9378170678316338,0.0,79.10284293347094,351.5234135663268,51.55580380481593,785.7539554962036,4162.69024069898,-1,-1,-1,1,-1
24.0,0.1939,11.423829992413467,1.936908999262858,0.0,79.05767494292174,348.6017998525716,52.25885063194858,785.5957498103367,4162.145399557715,-1,-1,-1,1,-1
