time,cycle,plv,part,pven,qart,qper,qven,vlv,vart,vven
0,1,0.51,13.33,0.4982,0,0.091,0,100,1129.2,3750.8
2,1,0.51724,13.321,0.5435,0,0.09102,0.092596,100,1129,3771
4,1,0.53995,13.311,0.54349,0,0.09095,0.012503,100.19,1128.8,3771
6,1,0.57631,13.302,0.54384,0,0.090877,0,100.21,1128.7,3771.1
8,1,0.62699,13.292,0.54425,0,0.090805,0,100.21,1128.5,3771.3
10,1,0.69206,13.282,0.54466,0,0.090732,0,100.21,1128.3,3771.5
12,1,0.77146,13.272,0.54507,0,0.090659,0,100.21,1128.1,3771.7
14,1,0.86512,13.262,0.54548,0,0.090587,0,100.21,1127.9,3771.9
16,1,0.97293,13.253,0.54589,0,0.090514,0,100.21,1127.7,3772
18,1,1.0948,13.243,0.54629,0,0.090441,0,100.21,1127.6,3772.2
20,1,1.2306,13.233,0.5467,0,0.090369,0,100.21,1127.4,3772.4
22,1,1.3802,13.223,0.54711,0,0.090297,0,100.21,1127.2,3772.6
24,1,1.5434,13.214,0.54751,0,0.090224,0,100.21,1127,3772.8
26,1,1.7201,13.204,0.54792,0,0.090152,0,100.21,1126.8,3772.9
28,1,1.9102,13.194,0.54832,0,0.09008,0,100.21,1126.7,3773.1
30,1,2.1134,13.184,0.54873,0,0.090007,0,100.21,1126.5,3773.3
32,1,2.3295,13.175,0.54914,0,0.089935,0,100.21,1126.3,3773.5
34,1,2.5583,13.165,0.54954,0,0.089863,0,100.21,1126.1,3773.7
36,1,2.7996,13.155,0.54994,0,0.089791,0,100.21,1125.9,3773.8
38,1,3.0531,13.146,0.55035,0,0.089719,0,100.21,1125.8,3774
40,1,3.3187,13.136,0.55075,0,0.089647,0,100.21,1125.6,3774.2
42,1,3.596,13.126,0.55116,0,0.089576,0,100.21,1125.4,3774.4
44,1,3.8847,13.117,0.55156,0,0.089504,0,100.21,1125.2,3774.6
46,1,4.1846,13.107,0.55196,0,0.089432,0,100.21,1125,3774.7
48,1,4.4955,13.097,0.55236,0,0.08936,0,100.21,1124.9,3774.9
50,1,4.8168,13.088,0.55277,0,0.089289,0,100.21,1124.7,3775.1
52,1,5.1485,13.078,0.55317,0,0.089217,0,100.21,1124.5,3775.3
54,1,5.4901,13.068,0.55357,0,0.089146,0,100.21,1124.3,3775.5
56,1,5.8412,13.059,0.55397,0,0.089074,0,100.21,1124.2,3775.6
58,1,6.2017,13.049,0.55437,0,0.089003,0,100.21,1124,3775.8
60,1,6.571,13.039,0.55477,0,0.088932,0,100.21,1123.8,3776
62,1,6.9488,13.03,0.55517,0,0.08886,0,100.21,1123.6,3776.2
64,1,7.3348,13.02,0.55557,0,0.088789,0,100.21,1123.4,3776.3
66,1,7.7286,13.011,0.55597,0,0.088718,0,100.21,1123.3,3776.5
68,1,8.1297,13.001,0.55637,0,0.088647,0,100.21,1123.1,3776.7
70,1,8.5379,12.991,0.55677,0,0.088576,0,100.21,1122.9,3776.9
72,1,8.9526,12.982,0.55717,0,0.088505,0,100.21,1122.7,3777.1
